name, status, id, URL
William P. Alford,yes,10010,http://hls.harvard.edu/faculty/directory/10010/Alford
William D. Andrews,no,10022,http://hls.harvard.edu/faculty/directory/10022/Andrews
Deborah E. Anker,yes,10024,http://hls.harvard.edu/faculty/directory/10024/Anker
Oren Bar-Gill,yes,10042,http://hls.harvard.edu/faculty/directory/10042/Bar-Gill
Elizabeth Bartholet,no,10048,http://hls.harvard.edu/faculty/directory/10048/Bartholet
Christopher T. Bavitz,yes,10055,http://hls.harvard.edu/faculty/directory/10055/Bavitz
Lucian A. Bebchuk,no,10058,http://hls.harvard.edu/faculty/directory/10058/Bebchuk
Yochai Benkler,yes,10071,http://hls.harvard.edu/faculty/directory/10071/Benkler
Gabriella Blum,yes,10089,http://hls.harvard.edu/faculty/directory/10089/Blum
Robert C. Bordone,no,10095,http://hls.harvard.edu/faculty/directory/10095/Bordone
Scott Brewer,yes,10106,http://hls.harvard.edu/faculty/directory/10106/Brewer
Tomiko Brown-Nagin,yes,10116,http://hls.harvard.edu/faculty/directory/10116/Brown-Nagin
Victor Brudney,no,10119,http://hls.harvard.edu/faculty/directory/10119/Brudney
Esme Caramello,no,10132,http://hls.harvard.edu/faculty/directory/10132/Caramello
Robert C. Clark,yes,10165,http://hls.harvard.edu/faculty/directory/10165/Clark
John Coates,yes,10170,http://hls.harvard.edu/faculty/directory/10170/Coates
I. Glenn Cohen,no,10176,http://hls.harvard.edu/faculty/directory/10176/Cohen
Alan M. Dershowitz,yes,10210,http://hls.harvard.edu/faculty/directory/10210/Dershowitz
Mihir A. Desai,no,10211,http://hls.harvard.edu/faculty/directory/10211/Desai
Christine A. Desan,yes,10212,http://hls.harvard.edu/faculty/directory/10212/Desan
Charles Donahue,yes,10220,http://hls.harvard.edu/faculty/directory/10220/Donahue
Einer R. Elhauge,no,10234,http://hls.harvard.edu/faculty/directory/10234/Elhauge
Richard H. Fallon Jr.,yes,10247,http://hls.harvard.edu/faculty/directory/10247/Fallon
Susan H. Farbstein,yes,10251,http://hls.harvard.edu/faculty/directory/10251/Farbstein
Noah Feldman,no,10257,http://hls.harvard.edu/faculty/directory/10257/Feldman
Allen Ferrell,no,10259,http://hls.harvard.edu/faculty/directory/10259/Ferrell
Martha A. Field,yes,10263,http://hls.harvard.edu/faculty/directory/10263/Field
William W. Fisher,no,10270,http://hls.harvard.edu/faculty/directory/10270/Fisher
Jody Freeman,yes,10285,http://hls.harvard.edu/faculty/directory/10285/Freeman
Charles Fried,yes,10288,http://hls.harvard.edu/faculty/directory/10288/Fried
Jesse M. Fried,no,10289,http://hls.harvard.edu/faculty/directory/10289/Fried
